job_name_jobs_list,job_company_jobs_list,job_page_link,jobs_country_jobs_list,posted_date,deadline,job_salary_jobs_list,job_page_full_url,job_name_job_page,company_name_job_page,job_country_job_page,job_time_job_page,job_salary_job_page,job_category,job_overview,job_description_details,company_reg_date,company_phone
HOUSEMAID,SECURITY LINK LIMITED,./jobs?id=6849,Saudi Arabia,"16 Apr, 2025 - 16 Apr, 2027","Deadline : 15 May, 2025",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6849,HOUSEMAID,SECURITY LINK LIMITED,Saudi Arabia,"Apr 16, 2025 - Apr 16, 2027 ",SAR 900,Domestic Worker,DOMESTIC WORK,DOMESTIC WORK						,"10 August, 2023",+256-759-985584
HOUSEMAID,HIGH GROUND INTERNATIONAL LTD,./jobs?id=6848,Saudi Arabia,"24 Apr, 2025 - 24 Apr, 2027","Deadline : 15 May, 2025",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6848,HOUSEMAID,HIGH GROUND INTERNATIONAL LTD,Saudi Arabia,"Apr 24, 2025 - Apr 24, 2027 ",SAR 900,Domestic Worker,The domestic worker shall:,The domestic worker shall:,"18 December, 2024",+256-700-480631
HOUSEMAIDS,OPTIVEN UGANDA LIMITED,./jobs?id=6845,Saudi Arabia,"16 Apr, 2025 - 16 Apr, 2027","Deadline : 10 May, 2025",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6845,HOUSEMAIDS,OPTIVEN UGANDA LIMITED,Saudi Arabia,"Apr 16, 2025 - Apr 16, 2027 ",SAR 900,Domestic Worker,House maids needed in Saudi Arabia to work for a contract period of 2 years.,House maids needed in Saudi Arabia to work for a contract period of 2 years.						,"14 October, 2024",+256-771-829429
HOUSEMAIDS,CREATIVE GROUP INTERNATIONAL LTD,./jobs?id=6844,Saudi Arabia,"16 Apr, 2025 - 16 Apr, 2027","Deadline : 10 May, 2025",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6844,HOUSEMAIDS,CREATIVE GROUP INTERNATIONAL LTD,Saudi Arabia,"Apr 16, 2025 - Apr 16, 2027 ",SAR 900,Domestic Worker,House maids needed in Saudi Arabia to work for a contract period of 2 years.,House maids needed in Saudi Arabia to work for a contract period of 2 years.						,"25 March, 2025",+256-200-923265
HOUSEMAIDS,TENNET RECRUITMENT LTD,./jobs?id=6843,Saudi Arabia,"22 Apr, 2025 - 22 Apr, 2027","Deadline : 08 May, 2025",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6843,HOUSEMAIDS,TENNET RECRUITMENT LTD,Saudi Arabia,"Apr 22, 2025 - Apr 22, 2027 ",SAR 900,Domestic Worker,House maids needed in Saudi Arabia to work for a contract period of 2 years.,House maids needed in Saudi Arabia to work for a contract period of 2 years.,"19 June, 2024",+256-773-167318
Home care,MALISU APOLLO INVESTMENTS LTD,./jobs?id=6841,Saudi Arabia,"09 Apr, 2025 - 09 Apr, 2027","Deadline : 07 May, 2025",SAR 1300,https://eemis.mglsd.go.ug/jobs?id=6841,Home care,MALISU APOLLO INVESTMENTS LTD,Saudi Arabia,"Apr 09, 2025 - Apr 09, 2027 ",SAR 1300,Domestic Worker,A HEALTH CARE GIVER is a female Servant Employed To Take a Good Care Of the Health Of the Patient,A HEALTH CARE GIVER is a female Servant Employed To Take a Good Care Of the Health Of the Patient						,"14 March, 2024",+256-773-001186
HOUSEMAID,AIRSWIFT RECRUITMENT COMPANY LTD,./jobs?id=6840,Saudi Arabia,"24 Apr, 2025 - 24 Apr, 2027","Deadline : 07 May, 2025",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6840,HOUSEMAID,AIRSWIFT RECRUITMENT COMPANY LTD,Saudi Arabia,"Apr 24, 2025 - Apr 24, 2027 ",SAR 900,Domestic Worker,"DOMESTIC WORKERS OR HOUSEMAIDS ARE THE PERSONS ENGAGED IN DOMESTIC WORK WITHIN AN EMPLOYMENT RELATIONSHIP.” DOMESTIC WORK IS DEFINED AS “WORK PERFORMED IN OR FOR A HOUSEHOLD OR HOUSEHOLDS.” THE WORK MAY INCLUDE CLEANING, COOKING, WASHING AND IRONING, TAKING CARE OF CHILDREN, ELDERLY OR SICK MEMBERS OF A FAMILY, AS WELL AS HOUSEHOLD PETS, GARDENING AND GUARDING THE HOUSE WHEN EMPLOYERS ARE NOT AROUND. THIS IS A FULL TIME WORK WHICH REQUIRES STAYING IN THE RESIDENCE OF EMPLOYER UNTIL THE PERIOD OF WORKING CONTRACT ENDS. BELOW ARE THE QUALIFICATIONS, REQUIREMENTS AND EXPECTED RESPONSIBILITIES OF UGANDAN DOMESTIC WORKERS OR HOUSEMAIDS.","DOMESTIC WORKERS OR HOUSEMAIDS ARE THE PERSONS ENGAGED IN DOMESTIC WORK WITHIN AN EMPLOYMENT RELATIONSHIP.” DOMESTIC WORK IS DEFINED AS “WORK PERFORMED IN OR FOR A HOUSEHOLD OR HOUSEHOLDS.” THE WORK MAY INCLUDE CLEANING, COOKING, WASHING AND IRONING, TAKING CARE OF CHILDREN, ELDERLY OR SICK MEMBERS OF A FAMILY, AS WELL AS HOUSEHOLD PETS, GARDENING AND GUARDING THE HOUSE WHEN EMPLOYERS ARE NOT AROUND. THIS IS A FULL TIME WORK WHICH REQUIRES STAYING IN THE RESIDENCE OF EMPLOYER UNTIL THE PERIOD OF WORKING CONTRACT ENDS. BELOW ARE THE QUALIFICATIONS, REQUIREMENTS AND EXPECTED RESPONSIBILITIES OF UGANDAN DOMESTIC WORKERS OR HOUSEMAIDS.						","08 August, 2024",+256-787-665412
HOUSEMAID,Enjaazi Limited,./jobs?id=6839,Saudi Arabia,"11 Apr, 2025 - 11 Apr, 2027","Deadline : 03 May, 2025",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6839,HOUSEMAID,Enjaazi Limited,Saudi Arabia,"Apr 11, 2025 - Apr 11, 2027 ",SAR 900,Domestic Worker,DOING DOMESTIC WORK,DOING DOMESTIC WORK						,"06 December, 2024",+256-707-681801
HOUSEMAIDS,AFRISKY INTERNATIONAL LIMITED,./jobs?id=6838,Saudi Arabia,"10 Apr, 2025 - 10 Apr, 2027","Deadline : 02 May, 2025",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6838,HOUSEMAIDS,AFRISKY INTERNATIONAL LIMITED,Saudi Arabia,"Apr 10, 2025 - Apr 10, 2027 ",SAR 900,Domestic Worker,HOUSEMAIDS - Jehan Human Resources & Afrisky international limited,HOUSEMAIDS - Jehan Human Resources & Afrisky international limited						,"06 November, 2023",+256-392-001959
HOUSEMAID,ELECTRA HR CONSULTANCY - LTD,./jobs?id=6837,Saudi Arabia,"10 Apr, 2025 - 10 Apr, 2027","Deadline : 02 May, 2025",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6837,HOUSEMAID,ELECTRA HR CONSULTANCY - LTD,Saudi Arabia,"Apr 10, 2025 - Apr 10, 2027 ",SAR 900,Domestic Worker,House maids needed in Saudi Arabia to work for a contract period of 2 years.,House maids needed in Saudi Arabia to work for a contract period of 2 years.,"23 August, 2024",+256-393-256814
HOUSE MAID,GOPRO UGANDA LIMITED,./jobs?id=6836,Saudi Arabia,"08 Apr, 2025 - 08 Apr, 2027","Deadline : 01 May, 2025",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6836,HOUSE MAID,GOPRO UGANDA LIMITED,Saudi Arabia,"Apr 08, 2025 - Apr 08, 2027 ",SAR 900,Domestic Worker,HOUSE MAID,HOUSE MAID,"02 September, 2024",+256-772-461569
House Maids,KHM INTERNATIONAL CONSULTANTS LIMITED,./jobs?id=6835,Saudi Arabia,"01 Apr, 2025 - 01 Apr, 2027","Deadline : 28 Apr, 2025",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6835,House Maids,KHM INTERNATIONAL CONSULTANTS LIMITED,Saudi Arabia,"Apr 01, 2025 - Apr 01, 2027 ",SAR 900,Domestic Worker,Ready to take all responsibility for all kinds of housework as a house helper.,Ready to take all responsibility for all kinds of housework as a house helper.,"22 March, 2024",+256-752-000777
HOUSEMAIDS,HBM RECRUITMENT AGENCY UGANDA LIMITED,./jobs?id=6834,Saudi Arabia,"31 Mar, 2025 - 31 Mar, 2027","Deadline : 26 Apr, 2025",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6834,HOUSEMAIDS,HBM RECRUITMENT AGENCY UGANDA LIMITED,Saudi Arabia,"Mar 31, 2025 - Mar 31, 2027 ",SAR 900,Domestic Worker,House maids needed in Saudi Arabia to work for a contract period of 2 years.,House maids needed in Saudi Arabia to work for a contract period of 2 years.,"28 February, 2024",+256-700-941661
HOUSEMAID,SWIFT INTERNATIONAL RECRUITERS LIMITED,./jobs?id=6833,Saudi Arabia,"31 Mar, 2025 - 31 Mar, 2027","Deadline : 26 Apr, 2025",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6833,HOUSEMAID,SWIFT INTERNATIONAL RECRUITERS LIMITED,Saudi Arabia,"Mar 31, 2025 - Mar 31, 2027 ",SAR 900,Domestic Worker,"Domestic workers to help in the housework like cleaning, washing and doing other housework like cooking and helping the family members.","Domestic workers to help in the housework like cleaning, washing and doing other housework like cooking and helping the family members.						","31 May, 2024",+256-392-174783
housemaid,DERM LOGISTICS UG LTD,./jobs?id=6815,Saudi Arabia,"24 Mar, 2025 - 24 Mar, 2027","Deadline : 31 Jul, 2025",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6815,housemaid,DERM LOGISTICS UG LTD,Saudi Arabia,"Mar 24, 2025 - Mar 24, 2027 ",SAR 900,Domestic Worker,Housemaid /,Housemaid /,"17 May, 2024",+256-772-403006
Helpers,FREE ZONE INTERNATIONAL RECRUITMENT AGENCY LTD,./jobs?id=6776,United Arab Emirates,"28 Feb, 2025 - 28 Feb, 2027","Deadline : 30 Jun, 2025",AED 1300,https://eemis.mglsd.go.ug/jobs?id=6776,Helpers,FREE ZONE INTERNATIONAL RECRUITMENT AGENCY LTD,United Arab Emirates,"Feb 28, 2025 - Feb 28, 2027 ",AED 1300,Manufacturing/Production," As a general helper, you would help out on a production or construction site with whatever the company needs you to do. You don't need a lot of specialized knowledge to be a general helper, but you do need a good work ethic and a can-do attitude."," As a general helper, you would help out on a production or construction site with whatever the company needs you to do. You don't need a lot of specialized knowledge to be a general helper, but you do need a good work ethic and a can-do attitude.","18 July, 2024",+256-755-960507
House Maid,SHUKRAN HABIB CONSULTANTS LTD,./jobs?id=6724,Saudi Arabia,"11 Feb, 2025 - 11 Feb, 2027","Deadline : 31 Dec, 2026",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6724,House Maid,SHUKRAN HABIB CONSULTANTS LTD,Saudi Arabia,"Feb 11, 2025 - Feb 11, 2027 ",SAR 900,Domestic Worker,Work as a domestic worker in Saudi Arabia,Work as a domestic worker in Saudi Arabia,"25 November, 2024",+256-702-000206
HOUSE MAIDS,JABEZ CONSULTANTS LIMITED,./jobs?id=6706,Saudi Arabia,"18 Feb, 2025 - 18 Feb, 2027","Deadline : 01 Dec, 2027",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6706,HOUSE MAIDS,JABEZ CONSULTANTS LIMITED,Saudi Arabia,"Feb 18, 2025 - Feb 18, 2027 ",SAR 900,Domestic Worker,We are looking for HOUSEMAIDS with proven working experience,We are looking for HOUSEMAIDS with proven working experience,"08 August, 2024",+256-772-389100
HOUSE MAID,FREE ZONE INTERNATIONAL RECRUITMENT AGENCY LTD,./jobs?id=6637,Saudi Arabia,"16 Jan, 2025 - 16 Jan, 2027","Deadline : 30 Jun, 2025",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6637,HOUSE MAID,FREE ZONE INTERNATIONAL RECRUITMENT AGENCY LTD,Saudi Arabia,"Jan 16, 2025 - Jan 16, 2027 ",SAR 900,Domestic Worker,HOUSE MAID,HOUSE MAID						,"18 July, 2024",+256-755-960507
House Maid,HIREON AGENCY LIMITED,./jobs?id=6622,Saudi Arabia,"09 Jan, 2025 - 09 Jan, 2027","Deadline : 07 Feb, 2026",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6622,House Maid,HIREON AGENCY LIMITED,Saudi Arabia,"Jan 09, 2025 - Jan 09, 2027 ",SAR 900,Domestic Worker,"We are seeking a reliable and hardworking Female Housemaid to join a family in Saudi Arabia. The successful candidate will be responsible for general household chores, including cleaning, cooking, and childcare.","We are seeking a reliable and hardworking Female Housemaid to join a family in Saudi Arabia. The successful candidate will be responsible for general household chores, including cleaning, cooking, and childcare.						","18 November, 2024",+256-786-702000
HOUSEMAID,DERM LOGISTICS UG LTD,./jobs?id=6611,Saudi Arabia,"02 Jan, 2025 - 02 Jan, 2027","Deadline : 31 May, 2025",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6611,HOUSEMAID,DERM LOGISTICS UG LTD,Saudi Arabia,"Jan 02, 2025 - Jan 02, 2027 ",SAR 900,Domestic Worker,"This Job exists to assist households in carrying out domestic work such as general cleaning, cooking, babysitting, ironing, washing, elderly care disabled care, and any other assigned duties within the confines of the home.","This Job exists to assist households in carrying out domestic work such as general cleaning, cooking, babysitting, ironing, washing, elderly care disabled care, and any other assigned duties within the confines of the home.						","17 May, 2024",+256-772-403006
Housemaid,HIREON AGENCY LIMITED,./jobs?id=6591,Saudi Arabia,"20 Dec, 2024 - 20 Dec, 2026","Deadline : 11 Dec, 2026",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6591,Housemaid,HIREON AGENCY LIMITED,Saudi Arabia,"Dec 20, 2024 - Dec 20, 2026 ",SAR 900,Domestic Worker,"A Female worker is required who has at least completed high school or graduated and is able to speak English and with a recommendation from the guardians to travel to Saudi Arabia. She must have passed the medical requirements and with training provided to her. She will be doing the house chores such as washing clothes (laundry), cleaning the house washing utensils, sweeping the compound, and ensuring that the house is always clean and not messed up. She must be 18 years and above and fit for work.","A Female worker is required who has at least completed high school or graduated and is able to speak English and with a recommendation from the guardians to travel to Saudi Arabia. She must have passed the medical requirements and with training provided to her. She will be doing the house chores such as washing clothes (laundry), cleaning the house washing utensils, sweeping the compound, and ensuring that the house is always clean and not messed up. She must be 18 years and above and fit for work.","18 November, 2024",+256-786-702000
Housemaid,INTERCONTINENTAL OPPORTUNITIES LIMITED,./jobs?id=6548,Saudi Arabia,"03 Jan, 2025 - 03 Jan, 2027","Deadline : 20 Dec, 2025",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6548,Housemaid,INTERCONTINENTAL OPPORTUNITIES LIMITED,Saudi Arabia,"Jan 03, 2025 - Jan 03, 2027 ",SAR 900,Domestic Worker,"Domestic workers or housemaids are responsible for keeping residence clean and tidy. Housemaids may be hired through as people have different needs, a housemaid’s specific responsibilities and duties can only be explained at the time of hiring. Some of them so that their work hours are not too defined – they are live-in housemaids and are considered as part of the family and cares","Domestic workers or housemaids are responsible for keeping residence clean and tidy. Housemaids may be hired through as people have different needs, a housemaid’s specific responsibilities and duties can only be explained at the time of hiring. Some of them so that their work hours are not too defined – they are live-in housemaids and are considered as part of the family and cares","30 June, 2023",+256-772-584315
House maid,SWIFT INTERNATIONAL RECRUITERS LIMITED,./jobs?id=6540,Saudi Arabia,"19 Nov, 2024 - 19 Nov, 2026","Deadline : 01 Dec, 2025",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6540,House maid,SWIFT INTERNATIONAL RECRUITERS LIMITED,Saudi Arabia,"Nov 19, 2024 - Nov 19, 2026 ",SAR 900,Domestic Worker," Domestic workers to help in housework like cleaning, washing and doing other housework like cooking and helping family members"," Domestic workers to help in housework like cleaning, washing and doing other housework like cooking and helping family members						","31 May, 2024",+256-392-174783
housemaid,TRUSTIN COMPANY LIMITED,./jobs?id=6535,Saudi Arabia,"02 Dec, 2024 - 02 Dec, 2026","Deadline : 15 Dec, 2028",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6535,housemaid,TRUSTIN COMPANY LIMITED,Saudi Arabia,"Dec 02, 2024 - Dec 02, 2026 ",SAR 900,Domestic Worker,female domestic workers ,female domestic workers 						,"06 March, 2025",+256-776-027292
family drivers,SWIFT INTERNATIONAL RECRUITERS LIMITED,./jobs?id=6530,Saudi Arabia,"19 Nov, 2024 - 19 Nov, 2026","Deadline : 30 Jun, 2025",SAR 1200,https://eemis.mglsd.go.ug/jobs?id=6530,family drivers,SWIFT INTERNATIONAL RECRUITERS LIMITED,Saudi Arabia,"Nov 19, 2024 - Nov 19, 2026 ",SAR 1200,Other,family drivers responsible for driving family and children to and from school .,family drivers responsible for driving family and children to and from school .						,"31 May, 2024",+256-392-174783
HOUSEMAID,SWIFT INTERNATIONAL RECRUITERS LIMITED,./jobs?id=6477,Saudi Arabia,"11 Oct, 2024 - 11 Oct, 2026","Deadline : 31 May, 2025",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6477,HOUSEMAID,SWIFT INTERNATIONAL RECRUITERS LIMITED,Saudi Arabia,"Oct 11, 2024 - Oct 11, 2026 ",SAR 900,Domestic Worker,"Job order over view : Overview: Domestic workers to help in housework like cleaning, washing and doing other housework like cooking and helping family members","Job order over view : Overview: Domestic workers to help in housework like cleaning, washing and doing other housework like cooking and helping family members						","31 May, 2024",+256-392-174783
HOUSEMAIDS,AMIYAL SEFER LIMITED,./jobs?id=6476,Saudi Arabia,"30 Sep, 2024 - 30 Sep, 2026","Deadline : 31 Dec, 2025",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6476,HOUSEMAIDS,AMIYAL SEFER LIMITED,Saudi Arabia,"Sep 30, 2024 - Sep 30, 2026 ",SAR 900,Domestic Worker,We are looking for HOUSEMAIDS with proven working experience (SHOULD UNDERGO TRAINING) in the relevant field and able to work independently and remain motivated.,We are looking for HOUSEMAIDS with proven working experience (SHOULD UNDERGO TRAINING) in the relevant field and able to work independently and remain motivated.,"25 November, 2024",+256-200-906963
WAITER,ELITE INTERNATIONAL CONSULTANTS JOB LINK LTD,./jobs?id=6466,Saudi Arabia,"17 Sep, 2024 - 17 Sep, 2026","Deadline : 31 Dec, 2025",SAR 1200,https://eemis.mglsd.go.ug/jobs?id=6466,WAITER,ELITE INTERNATIONAL CONSULTANTS JOB LINK LTD,Saudi Arabia,"Sep 17, 2024 - Sep 17, 2026 ",SAR 1200,Hospitality/Leisure/Travel,"The typical restaurant crew member completes a variety of food preparation, customer transaction and sanitation jobs. A main responsibility during the shift is to take customer orders and process payments. They may also work on preparing and expediting food orders. In between customers, crew members perform cleaning duties, such as clearing tables and sanitizing food preparation areas.","The typical restaurant crew member completes a variety of food preparation, customer transaction and sanitation jobs. A main responsibility during the shift is to take customer orders and process payments. They may also work on preparing and expediting food orders. In between customers, crew members perform cleaning duties, such as clearing tables and sanitizing food preparation areas.						","30 August, 2023",+256-775-715978
HOUSE MAID,SWIFT INTERNATIONAL RECRUITERS LIMITED,./jobs?id=6454,Saudi Arabia,"10 Sep, 2024 - 10 Sep, 2026","Deadline : 01 Sep, 2025",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6454,HOUSE MAID,SWIFT INTERNATIONAL RECRUITERS LIMITED,Saudi Arabia,"Sep 10, 2024 - Sep 10, 2026 ",SAR 900,Domestic Worker,"Overview: Domestic workers to help in housework like cleaning, washing and doing other housework like cooking and helping family members","Overview: Domestic workers to help in housework like cleaning, washing and doing other housework like cooking and helping family members						","31 May, 2024",+256-392-174783
HOUSE MAID,HIREON AGENCY LIMITED,./jobs?id=6052,Saudi Arabia,"08 Jul, 2024 - 08 Jul, 2026","Deadline : 24 Nov, 2025",SAR 900,https://eemis.mglsd.go.ug/jobs?id=6052,HOUSE MAID,HIREON AGENCY LIMITED,Saudi Arabia,"Jul 08, 2024 - Jul 08, 2026 ",SAR 900,Domestic Worker,A house maid is a female servant  employed to do house work.,A house maid is a female servant  employed to do house work.						,"18 November, 2024",+256-786-702000
